,zpid,address,zipcode,latitude,longitude,beds,baths,area,dateSold,yearBuilt,lotSize,zestimate,sellingPrice,sellerAgent,sellerAgentUrl,buyerAgent,buyerAgentUrl,listedAt,firstListingPrice,timesListed,zEstimate_at_listing,zEstimate_date,url
91,15589691,"738 Hillcrest Way, Emerald Hills, CA 94062",94062,37.462537,-122.267168,5,5.0,3115,2019-07-30 08:00:00,1949,16000.0,3360360.0,3470000.0,,,Adriana Trenev,https://www.zillow.com/profile/AdrianaTrenev1/,,,0,2757768.0,2019-06-30,https://www.zillow.com/homedetails/738-Hillcrest-Way-Emerald-Hills-CA-94062/15589691_zpid/
92,15571045,"609 Lakeview Way, Emerald Hills, CA 94062",94062,37.467823,-122.270309,3,3.0,1990,2019-07-30 08:00:00,1995,6067.0,1937375.0,2000000.0,Mani Singh Bhachu,https://www.zillow.com/profile/Mani-Singh-Bhachu/,Stephan Marshall,https://www.zillow.com/profile/stephanmarshall/,2019-06-26 14:43:00,1898000.0,1,1883618.0,2019-05-31,https://www.zillow.com/homedetails/609-Lakeview-Way-Emerald-Hills-CA-94062/15571045_zpid/
93,15564809,"518 Iris St, Redwood City, CA 94062",94062,37.477404,-122.238295,4,3.0,2436,2019-07-26 15:00:00,1945,6499.0,2350100.0,2425000.0,Danny Burgess,https://www.zillow.com/profile/Doors-Advisors/,,,2019-06-24 10:55:00,2298000.0,1,2033334.0,2019-05-31,https://www.zillow.com/homedetails/518-Iris-St-Redwood-City-CA-94062/15564809_zpid/
94,15572599,"3889 Harvest Dr, Redwood City, CA 94061",94061,37.454969,-122.257024,4,3.0,2179,2019-07-26 00:00:00,1959,8049.0,1986682.0,2050000.0,Diane Dwyer,https://www.zillow.com/profile/Diane-Dwyer-Sharp/,,,2019-06-24 10:30:00,1850000.0,1,1902293.0,2019-05-31,https://www.zillow.com/homedetails/3889-Harvest-Dr-Redwood-City-CA-94061/15572599_zpid/
95,15589731,"662 Oak Park Way, Emerald Hills, CA 94062",94062,37.462513,-122.270375,4,3.0,2112,2019-07-25 00:00:00,2000,8398.0,2132361.0,2200000.0,Sharon Witte,https://www.zillow.com/profile/sharon-witte/,Jean Isaacson,https://www.zillow.com/profile/JeanIsaacson/,2019-06-14 11:44:00,1998000.0,1,2012828.0,2019-05-31,https://www.zillow.com/homedetails/662-Oak-Park-Way-Emerald-Hills-CA-94062/15589731_zpid/
96,15563910,"37 Nevada St, Redwood City, CA 94062",94062,37.48126,-122.249984,4,3.0,1820,2019-07-23 00:00:00,1940,9099.0,2857229.0,2895000.0,Amy Anderson-Giugliano,https://www.zillow.com/profile/YourRealtorAmy/,Tom LeMieux,https://www.zillow.com/profile/user3633317/,2019-06-06 20:17:00,2450000.0,1,2376769.0,2019-05-31,https://www.zillow.com/homedetails/37-Nevada-St-Redwood-City-CA-94062/15563910_zpid/
97,15570748,"163 Springdale Way, Emerald Hills, CA 94062",94062,37.472512,-122.274126,4,4.0,3619,2019-07-22 08:00:00,1986,17345.0,2521173.0,2600000.0,Suzanne Bowler,https://www.zillow.com/profile/Suzanne-Bowler/,Catherine Qian,https://www.zillow.com/profile/Catherine-Qian/,2019-04-25 14:19:00,2750000.0,1,2898065.0,2019-03-31,https://www.zillow.com/homedetails/163-Springdale-Way-Emerald-Hills-CA-94062/15570748_zpid/
98,295378767,"752 Hillcrest Way, Emerald Hills, CA 94062",94062,37.462547,-122.266807,4,5.0,3358,2019-07-19 00:00:00,2019,13947.0,3395379.0,3500000.0,Greg Garcia,https://www.zillow.com/profile/user529363/,,,2019-04-26 16:11:00,3698000.0,1,2916728.0,2019-03-31,https://www.zillow.com/homedetails/752-Hillcrest-Way-Emerald-Hills-CA-94062/295378767_zpid/
99,15590502,"3937 Lonesome Pine Rd, Redwood City, CA 94061",94061,37.452379,-122.25711,5,3.0,2605,2019-07-16 00:00:00,1969,22651.0,2887341.0,2975000.0,Milana Ostroy,https://www.zillow.com/profile/milana-ostroy/,Jennifer Chen,https://www.zillow.com/profile/Jennifer-Chen-Redfin/,2019-06-10 00:27:00,2833000.0,1,2621538.0,2019-05-31,https://www.zillow.com/homedetails/3937-Lonesome-Pine-Rd-Redwood-City-CA-94061/15590502_zpid/
100,15590707,"3098 Muller Ct, Redwood City, CA 94061",94061,37.454777,-122.241723,4,4.0,2380,2019-07-16 00:00:00,1954,10301.0,2552881.0,2630000.0,,,Buffy Bianchini,https://www.zillow.com/profile/Buffy-Bianchini/,2019-04-18 09:50:00,2798000.0,1,2247697.0,2019-03-31,https://www.zillow.com/homedetails/3098-Muller-Ct-Redwood-City-CA-94061/15590707_zpid/
