,zpid,address,zipcode,latitude,longitude,beds,baths,area,dateSold,yearBuilt,lotSize,zestimate,sellingPrice,sellerAgent,sellerAgentUrl,listedAt,firstListingPrice,timesListed,zEstimate_at_listing,zEstimate_date,url
597,15560822,"1761 Alameda, San Carlos, CA 94070",94070,37.484646,-122.257471,3.0,2.0,1620.0,2018-12-11 00:00:00,1948,4678.0,1739900.0,1425000.0,John Shroyer,https://www.zillow.com/profile/JohnShroyer/,2018-08-24 14:47:00,1698000.0,1,1864599.0,2018-07-31,https://www.zillow.com/homedetails/1761-Alameda-San-Carlos-CA-94070/15560822_zpid/
598,15573040,"2605 Hopkins Ave, Redwood City, CA 94062",94062,37.478738,-122.250661,3.0,2.0,1390.0,2018-12-10 00:00:00,1951,7949.0,1424531.0,1460000.0,,,2018-11-14 18:57:00,1298000.0,1,1659990.0,2018-10-31,https://www.zillow.com/homedetails/2605-Hopkins-Ave-Redwood-City-CA-94062/15573040_zpid/
599,15562933,"1904 Whipple Ave, Redwood City, CA 94062",94062,37.484779,-122.247417,4.0,3.0,3000.0,2018-12-10 00:00:00,1946,9748.0,2779736.0,2100000.0,Craig Smith,https://www.zillow.com/profile/Craig-Smith4/,2018-11-02 14:24:00,2250000.0,1,2645772.0,2018-10-31,https://www.zillow.com/homedetails/1904-Whipple-Ave-Redwood-City-CA-94062/15562933_zpid/
600,15573211,"140 Westgate St, Redwood City, CA 94062",94062,37.476675,-122.252523,3.0,2.0,1828.0,2018-12-07 08:00:00,1938,6499.0,1657976.0,1700000.0,Bob Johnston,https://www.zillow.com/profile/bob-johnstoncb/,2018-09-21 11:52:00,1898000.0,1,2098197.0,2018-08-31,https://www.zillow.com/homedetails/140-Westgate-St-Redwood-City-CA-94062/15573211_zpid/
601,15591213,"1663 Virginia Ave, Redwood City, CA 94061",94061,37.460229,-122.230824,3.0,2.0,1210.0,2018-12-07 00:00:00,1949,7200.0,1488277.0,1526000.0,James Steele,https://www.zillow.com/profile/James-Steele5/,2018-11-02 09:09:00,1429000.0,1,1617464.0,2018-10-31,https://www.zillow.com/homedetails/1663-Virginia-Ave-Redwood-City-CA-94061/15591213_zpid/
602,181429739,"208 Marshall St, Redwood City, CA 94063",94063,37.486658,-122.231857,,,,2018-12-07 00:00:00,-1,-1.0,,6000000.0,Alex Lehr,https://www.zillow.com/profile/Alex-Lehr/,,,0,,,https://www.zillow.com/homedetails/208-Marshall-St-Redwood-City-CA-94063/181429739_zpid/
603,15575144,"1039 Chesterton Ave, Redwood City, CA 94061",94061,37.462985,-122.24692,4.0,3.0,2017.0,2018-12-06 00:00:00,1953,6242.0,1755247.0,1800000.0,,,2018-10-12 13:09:00,1885000.0,1,2062935.0,2018-09-30,https://www.zillow.com/homedetails/1039-Chesterton-Ave-Redwood-City-CA-94061/15575144_zpid/
604,15571371,"632 Canyon Rd, Redwood City, CA 94062",94062,37.471158,-122.258384,4.0,5.0,3413.0,2018-12-05 08:00:00,2018,17898.0,3119076.0,3200000.0,Tom Huff,https://www.zillow.com/profile/Tom-Huff/,2018-08-13 09:08:00,3295000.0,1,3477886.0,2018-07-31,https://www.zillow.com/homedetails/632-Canyon-Rd-Redwood-City-CA-94062/15571371_zpid/
605,119689991,"941 Lakeview Way, Emerald Hills, CA 94062",94062,37.45907,-122.261467,4.0,5.0,4550.0,2018-12-05 00:00:00,1989,40500.0,4416222.0,5500000.0,Sam Anagnostou,https://www.zillow.com/profile/Sam-Anagnostou/,,,0,3751975.0,2018-11-30,https://www.zillow.com/homedetails/941-Lakeview-Way-Emerald-Hills-CA-94062/119689991_zpid/
606,15559510,"53 Maple Way, San Carlos, CA 94070",94070,37.485022,-122.263504,3.0,2.0,1430.0,2018-12-04 08:00:00,1953,5549.0,1486651.0,1525000.0,Andrea Kohler,https://www.zillow.com/profile/Andrea-Kohler/,2018-10-25 19:28:00,1698000.0,1,1856920.0,2018-09-30,https://www.zillow.com/homedetails/53-Maple-Way-San-Carlos-CA-94070/15559510_zpid/
