,zpid,address,zipcode,latitude,longitude,beds,baths,area,dateSold,yearBuilt,lotSize,zestimate,sellingPrice,sellerAgent,sellerAgentUrl,listedAt,firstListingPrice,timesListed,zEstimate_at_listing,zEstimate_date,url
159,15562804,"47 Turnsworth Ave, Redwood City, CA 94062",94062,37.482043,-122.251996,3.0,2.0,2010.0,2019-03-28 00:00:00,1932,9500.0,2461716.0,2500000.0,John Shroyer,https://www.zillow.com/profile/JohnShroyer/,2019-03-14 12:51:00,2095000.0,1,2048807.0,2019-02-28,https://www.zillow.com/homedetails/47-Turnsworth-Ave-Redwood-City-CA-94062/15562804_zpid/
160,15562804,"47 Turnsworth Ave, Redwood City, CA 94062",94062,37.482043,-122.251996,3.0,2.0,2010.0,2019-03-28 00:00:00,1932,9500.0,2461716.0,2500000.0,John Shroyer,https://www.zillow.com/profile/JohnShroyer/,2019-03-14 12:51:00,2095000.0,1,2048807.0,2019-02-28,https://www.zillow.com/homedetails/47-Turnsworth-Ave-Redwood-City-CA-94062/15562804_zpid/
161,15590594,"21 Alverno Ct, Redwood City, CA 94061",94061,37.45287,-122.262533,2.0,3.0,2400.0,2019-03-26 00:00:00,1983,4146.0,2117103.0,2150000.0,Sally Slate Lee,https://www.zillow.com/profile/sallylee19/,2019-03-04 10:01:00,1995000.0,1,1815615.0,2019-02-28,https://www.zillow.com/homedetails/21-Alverno-Ct-Redwood-City-CA-94061/15590594_zpid/
162,15571155,"415 Summit Dr, Emerald Hills, CA 94062",94062,37.469733,-122.265481,5.0,3.0,3260.0,2019-03-25 15:00:00,1995,12035.0,2540539.0,2580000.0,Jim Tierney,https://www.zillow.com/profile/jmtierney/,2018-10-03 07:59:00,2765000.0,2,2716539.0,2018-09-30,https://www.zillow.com/homedetails/415-Summit-Dr-Emerald-Hills-CA-94062/15571155_zpid/
163,15571763,"3940 Brookline Way, Emerald Hills, CA 94062",94062,37.46134,-122.264118,3.0,3.0,1850.0,2019-03-18 00:00:00,1948,7479.0,2186142.0,2220000.0,Lisa Morris,https://www.zillow.com/profile/Lisa-Morris5/,2018-12-01 21:54:00,2248888.0,1,1391376.0,2018-11-30,https://www.zillow.com/homedetails/3940-Brookline-Way-Emerald-Hills-CA-94062/15571763_zpid/
164,15591925,"2642 Ohio Ave, Redwood City, CA 94061",94061,37.454155,-122.232799,4.0,5.0,3050.0,2019-03-15 15:00:00,1951,6050.0,2560395.0,2600000.0,John King,https://www.zillow.com/profile/JohnWadeKingRealtor/,2019-01-28 10:17:00,2678000.0,1,2741558.0,2018-12-31,https://www.zillow.com/homedetails/2642-Ohio-Ave-Redwood-City-CA-94061/15591925_zpid/
165,15558845,"3169 La Mesa Dr, San Carlos, CA 94070",94070,37.481281,-122.277264,3.0,2.0,2040.0,2019-03-01 00:00:00,1968,9748.0,2388272.0,2425000.0,Val Vandervort,https://www.zillow.com/profile/ValVandervort/,2019-01-31 06:48:00,2188000.0,1,2040185.0,2019-01-31,https://www.zillow.com/homedetails/3169-La-Mesa-Dr-San-Carlos-CA-94070/15558845_zpid/
166,15572062,"3723 Jefferson Ct, Redwood City, CA 94062",94062,37.462602,-122.254803,4.0,4.0,3200.0,2019-03-01 00:00:00,1997,18700.0,2762517.0,2805000.0,John Shroyer,https://www.zillow.com/profile/JohnShroyer/,2018-11-02 10:23:00,2895000.0,1,3159009.0,2018-10-31,https://www.zillow.com/homedetails/3723-Jefferson-Ct-Redwood-City-CA-94062/15572062_zpid/
167,82951100,"951 Wilmington Way, Emerald Hills, CA 94062",94062,37.455541,-122.264077,5.0,4.0,2920.0,2019-02-22 16:00:00,2007,12632.0,3199370.0,3250000.0,Alex Wang,https://www.zillow.com/profile/AlexWang/,2019-02-11 09:53:00,2900000.0,1,2789748.0,2019-01-31,https://www.zillow.com/homedetails/951-Wilmington-Way-Emerald-Hills-CA-94062/82951100_zpid/
168,15571753,"512 Lakemead Way, Emerald Hills, CA 94062",94062,37.462031,-122.264391,4.0,2.0,2010.0,2019-02-22 16:00:00,1948,7840.0,1978687.0,2010000.0,Vicky Costantini,https://www.zillow.com/profile/vcostantini/,2019-01-24 11:38:00,1886888.0,1,2062843.0,2018-12-31,https://www.zillow.com/homedetails/512-Lakemead-Way-Emerald-Hills-CA-94062/15571753_zpid/
